Seasonal SD TS MERRA2 1980-2015
Month
Temperature Anomaly (K)
Month seas_anom+2sd seas_anom seas_anom-2sd
01 -1.86168  -1.9327   -2.00372 
02 -1.59076  -1.6609   -1.73104 
03 -0.891977 -0.9578   -1.02362 
04 0.052322  -0.0103   -0.07292 
05 0.971385   0.9102   0.849015 
06 1.65665    1.5906   1.52455  
07 1.9114     1.8446   1.7778   
08 1.80289    1.7338   1.66471  
09 1.16477    1.0912   1.01763  
10 0.168601   0.0886   0.008599 
11 -0.918645 -0.9976   -1.07656 
12 -1.63434  -1.7034   -1.77246 
